2019-12-09 16:16:25 INFO  BrowserLaunch:19 - clicked on the SearchButton using the locator :- //div[@class='nav-search-submit nav-sprite']//input[@class='nav-input']
2019-12-18 12:01:11 INFO  Practice:17 - selecting the required field in the search box
2019-12-18 12:01:11 INFO  Practice:19 - typeing the required on the search box
2019-12-18 12:01:14 INFO  Practice:21 - clicks on the search button
2019-12-18 12:03:05 INFO  Practice:17 - selecting the required field in the search box
2019-12-18 12:03:06 INFO  Practice:19 - typeing the required on the search box
2019-12-18 12:03:09 INFO  Practice:21 - clicks on the search button
2019-12-18 14:22:10 INFO  Practice:17 - selecting the required field in the search box
2019-12-18 14:22:10 INFO  Practice:19 - typeing the required on the search box
2019-12-18 14:22:13 INFO  Practice:21 - clicks on the search button
2019-12-18 14:24:20 INFO  Practice:17 - selecting the required field in the search box
2019-12-18 14:24:20 INFO  Practice:19 - typeing the required on the search box
2019-12-18 14:24:22 INFO  Practice:21 - clicks on the search button
